id;id_researcher;bibcode;years;citations;reads
52;6.0;2019ApJ...881..119P;{'2020', '2021', '2022', '2023', '2024'};{6, 8, 12, 10, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 253, 175, 124, 103, 16}
53;6.0;2019A&A...632A..59F;{'2020', '2021', '2022', '2023', '2024'};{13, 12, 7, 4, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 289, 127, 103, 101, 17}
54;6.0;2021MNRAS.503.1615S;{'2021', '2022', '2023', '2024'};{8, 12, 10, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 348, 159, 84, 16}
55;6.0;2015A&A...576A.102A;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{3, 10, 7, 9, 16, 10, 7, 8, 9, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 168, 120, 147, 124, 78, 74, 77, 90, 13}
56;6.0;2018ApJ...868..132P;{'2019', '2020', '2021', '2022', '2023', '2024'};{7, 8, 4, 14, 10, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 334, 209, 123, 96, 97, 11}
57;6.0;2020ApJ...900..109A;{'2020', '2021', '2022', '2023', '2024'};{1, 4, 9, 6, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 330, 252, 155, 80, 10}
58;6.0;2018MNRAS.480.2544R;{'2019', '2020', '2021', '2022', '2023', '2024'};{10, 6, 5, 7, 4, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 261, 156, 123, 104, 104, 18}
59;6.0;2018ApJ...852...74B;{'2018', '2019', '2020', '2021', '2022', '2023', '2024'};{4, 14, 13, 10, 11, 7, 3};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 230, 188, 191, 98, 73, 78, 21}
60;6.0;2019MNRAS.484.3042S;{'2019', '2020', '2021', '2022', '2023', '2024'};{6, 20, 18, 18, 5, 4};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 169, 115, 77, 78, 16}
61;6.0;2022ApJS..261...20M;{'2022', '2023', '2024'};{3, 2, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 167, 64, 7}
62;6.0;2017ApJ...844...80B;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 8, 19, 10, 7, 9, 4, 5};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 141, 133, 170, 87, 59, 62, 16}
63;6.0;2017ApJ...851L..24H;{'2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 6, 16, 22, 15, 11, 5, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 257, 169, 131, 92, 71, 43, 4}
64;6.0;2019ApJ...872..144H;{'2019', '2020', '2021', '2022', '2023', '2024'};{4, 6, 9, 7, 7, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 228, 166, 131, 98, 78, 7}
65;6.0;2014A&A...572A..38G;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{9, 15, 9, 11, 11, 10, 9, 5, 10, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 335, 175, 118, 101, 99, 76, 52, 58, 50, 12}
66;6.0;2023IAUS..373....3S;{'2023', '2024'};{0, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 83, 12}
67;6.0;2021ApJ...920...62N;{'2021', '2022', '2023', '2024'};{1, 7, 5, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 119, 97, 7}
68;6.0;2015A&A...573A..59G;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{11, 8, 4, 7, 4, 4, 2, 2, 5, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 359, 244, 156, 116, 127, 65, 80, 80, 72, 3}
69;6.0;2014A&A...568A..70B;{'2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{1, 9, 7, 6, 8, 8, 5, 3, 7, 6, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 213, 238, 128, 124, 95, 132, 70, 127, 57, 66, 8}
70;6.0;2020A&A...644A..97C;{'2021', '2022', '2023', '2024'};{5, 9, 8, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 202, 107, 72, 9}
71;6.0;2021A&A...652L..10S;{'2021', '2022', '2023', '2024'};{1, 3, 1, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 121, 56, 4}
72;6.0;2020MNRAS.492.2651B;{'2020', '2021', '2022', '2023', '2024'};{9, 10, 12, 7, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 270, 150, 81, 52, 5}
73;6.0;2021ApJ...909..131B;{'2021', '2022', '2023', '2024'};{4, 10, 4, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 100, 47, 5}
74;6.0;2021MNRAS.505.5460V;{'2022', '2023', '2024'};{3, 1, 0};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 124, 52, 6}
75;6.0;2019MNRAS.482.4032L;{'2019', '2020', '2021', '2022', '2023', '2024'};{4, 11, 9, 9, 6, 1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 184, 162, 95, 60, 49, 7}
76;6.0;2022A&A...661L...5M;{'2024'};{1};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 38, 1}
77;6.0;2015A&A...579A..45B;{'2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023', '2024'};{4, 6, 3, 7, 10, 7, 7, 4, 8, 2};{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 134, 95, 97, 107, 62, 38, 39, 39, 2}
